ticker,AAPL,ABBV
name,Apple Inc.,AbbVie Inc.
2018/09/14,52.9739,69.3077
2018/09/17,51.5634,69.0831
2018/09/18,51.6486,67.0839
2018/09/19,51.6794,65.9321
2018/09/20,52.0723,67.1346
2018/09/21,51.5114,66.8303
2018/09/24,52.2521,67.6706
2018/09/25,52.5834,67.9314
2018/09/26,52.1646,68.2211
2018/09/27,53.2366,68.1921
2018/09/28,53.4236,68.5109
2018/10/01,53.7833,68.8151
2018/10/02,54.2614,68.2573
2018/10/03,54.9217,69.5467
2018/10/04,53.9561,67.9748
2018/10/05,53.0804,68.3660
2018/10/08,52.9574,68.6775
2018/10/09,53.6910,68.5036
2018/10/10,51.2037,67.4243
2018/10/11,50.7517,65.7003
2018/10/12,52.5645,66.3958
2018/10/15,51.4404,65.2903
2018/10/16,52.5740,67.2890
2018/10/17,52.3468,67.5526
2018/10/18,51.1233,65.8175
2018/10/19,51.9019,64.4045
2018/10/22,52.2190,61.6956
2018/10/23,52.7113,60.7365
2018/10/24,50.9032,58.1375
2018/10/25,52.0178,59.8361
2018/10/26,51.1895,59.1479
2018/10/29,50.2287,59.5652
2018/10/30,50.4795,59.7336
2018/10/31,51.7954,56.9954
2018/11/01,52.5906,58.7232
2018/11/02,49.1022,58.2474
2018/11/05,47.7083,60.4584
2018/11/06,48.2242,61.2490
2018/11/07,49.6867,63.6650
2018/11/08,49.5134,64.2288
2018/11/09,48.5587,65.0048
2018/11/12,46.1126,65.6637
2018/11/13,45.6519,64.5875
2018/11/14,44.3623,64.6534
2018/11/15,45.4571,65.9932
2018/11/16,45.9606,67.0108
2018/11/19,44.1391,65.5100
2018/11/20,42.0302,64.4923
2018/11/21,41.9827,63.0720
2018/11/23,40.9164,62.6913
2018/11/26,41.4697,63.1379
2018/11/27,41.3795,64.1922
2018/11/28,42.9706,65.1146
2018/11/29,42.6405,65.8248
2018/11/30,42.4102,69.0168
2018/12/03,43.8921,68.5702
2018/12/04,41.9613,66.2933
2018/12/06,41.4935,66.1323
2018/12/07,40.0140,63.6650
2018/12/10,40.2776,64.1409
2018/12/11,40.0472,64.5509
2018/12/12,40.1588,64.8657
2018/12/13,40.5982,64.2141
2018/12/14,39.2991,62.6767
2018/12/17,38.9334,62.1788
2018/12/18,39.4392,61.1905
2018/12/19,38.2091,61.1465
2018/12/20,37.2449,62.5010
2018/12/21,35.7962,62.1715
2018/12/24,34.8700,61.6151
2018/12/26,37.3256,65.1878
2018/12/27,37.0834,65.8248
2018/12/28,37.1024,66.7107
2018/12/31,37.4610,67.4940
2019/01/02,37.5037,65.3269
2019/01/03,33.7681,63.1745
2019/01/04,35.2096,65.2098
2019/01/07,35.1312,66.1616
2019/01/08,35.8009,66.4690
2019/01/09,36.4089,64.2873
2019/01/10,36.5253,64.5729
2019/01/11,36.1667,64.6534
2019/01/14,35.6228,62.8154
2019/01/15,36.3519,63.3639
2019/01/16,36.7960,63.4009
2019/01/17,37.0145,64.6238
2019/01/18,37.2425,66.3283
2019/01/22,36.4065,65.7058
2019/01/23,36.5538,65.5501
2019/01/24,36.2641,63.6455
2019/01/25,37.4657,59.6880
2019/01/28,37.1190,57.1683
2019/01/29,36.7343,57.4129
2019/01/30,39.2445,58.5912
2019/01/31,39.5271,59.5027
2019/02/01,39.5461,59.6584
2019/02/04,40.6694,58.1984
